"atomic","symbol","name","weight","electronstring","melt","boil","valence","oxidation","discover","expandedconfig","isotopes","density_stp","density_liquid"
"unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected"
"40","Zr","Цирконий","91.224","[Kr] 5s2 4d2","2128.","4682.","4","1,2,3,4c","1789","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d2",33,"6511.","5800."
"41","Nb","Ниобий","92.90637","[Kr] 5s1 4d4","2750.","5017.","5","-1,2,3,4,5c","1801","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d4",33,"8570.","unexpected"
"42","Mo","Молибден","95.95","[Kr] 5s1 4d5","2896.","4912.","6","-2,-1,1,2,3,4c,5,6c","1781","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d5",33,"10280.","9330."
"43","Tc","Технеций","98","[Kr] 5s2 4d5","2430.","4538.","7","-3,-1,1,2,3,4c,5,6,7c","1937","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d5",34,"1.15e4","unexpected"
"44","Ru","Рутений","101.07","[Kr] 5s1 4d7","2607.","4423.","8","-2,1,2,3c,4c,5,6,7,8","1844","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d7",34,"12370.","10650."
"45","Rh","Родий","102.90549","[Kr] 5s1 4d8","2237.","3968.","6","-1,1,2,3c,4,5,6","1803","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d8",34,"12450.","10700."
"46","Pd","Палладий","106.42","[Kr] 4d10","1828.05","3236.","4","2c,4c","1803","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 4d10",34,"12023.","10380."
"47","Ag","Серебро","107.8682","[Kr] 5s1 4d10","1234.93","2435.","4","1c,2,3,4","-2999","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d10",38,"10490.","9320."
"48","Cd","Кадмий","112.414","[Kr] 5s2 4d10","594.22","1040.","2","1,2c","1817","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10",38,"8650.","7996."
"49","In","Индий","114.818","[Kr] 5s2 4d10 5p1","429.75","2345.","3","1,2,3c","1863","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p1",39,"7310.","7020."
"50","Sn","Олово","118.710","[Kr] 5s2 4d10 5p2","505.08","2875.","4","-4c,2c,4c","-2999","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p2",39,"7310.","6990."
"51","Sb","Сурьма","121.760","[Kr] 5s2 4d10 5p3","903.78","1860.","5","-3c,3c,5c","-2999","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p3",37,"6697.","6530."
"52","Te","Теллур","127.60","[Kr] 5s2 4d10 5p4","722.66","1261.","6","-2c,2c,4c,5,6c","1783","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p4",38,"6240.","5700."
"53","I","Иод","126.90447","[Kr] 5s2 4d10 5p5","386.85","457.4","7","-1c,1c,3c,4,5c,7c","1811","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p5",37,"4940.","unexpected"
"54","Xe","Ксенон","131.293","[Kr] 5s2 4d10 5p6","161.3","165.1","8","2c,4c,6c,8","1898","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6",38,"5.9","unexpected"
"55","Cs","Цезий","132.90545196","[Xe] 6s1","301.59","944.","1","-1,1c","1860","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1",40,"1879.","1843."
"56","Ba","Барий","137.327","[Xe] 6s2","1.0e3","2143.","2","2c","1808","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2",40,"3510.","3338."
"57","La","Лантан","138.90547","[Xe] 6s2 5d1","1193.","3737.","3","2,3c","1839","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 5d1",39,"6146.","5940."
"58","Ce","Церий","140.116","[Xe] 6s2 4f1 5d1","1071.","3633.","4","2,3c,4c","1803","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f1 5d1",39,"6689.","6550."
"59","Pr","Празеодим","140.90766","[Xe] 6s2 4f3","1204.","3563.","4","2,3c,4","1885","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f3",39,"6640.","6500."
"60","Nd","Неодим","144.242","[Xe] 6s2 4f4","1294.","3373.","3","2,3c","1885","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f4",38,"7010.","6890."
"61","Pm","Прометий","145","[Xe] 6s2 4f5","1373.","3273.","3","3c","1945","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f5",38,"7264.","unexpected"
"62","Sm","Самарий","150.36","[Xe] 6s2 4f6","1345.","2076.","3","2,3c","1879","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f6",38,"7353.","7160."
